C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/07/13,02:00:01,0000000310260113,,0000000310260112
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",1,8422
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",2,8189
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",3,7925
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",4,7673
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",5,7333
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",6,7102
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",7,6917
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",8,6843
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",9,6836
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",10,6957
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",11,7235
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",12,7619
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",13,8251
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",14,8840
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",15,9204
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",16,9509
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",17,9595
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",18,9448
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",19,9222
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",20,8986
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",21,8834
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",22,8578
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",23,8459
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",24,8282
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",25,8166
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",26,8056
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",27,8075
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",28,8062
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",29,8128
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",30,8187
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",31,8299
D,DEMAND,HISTORIC,1,NSW1,"2019/07/12 00:00:00",32,8462
