C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/10/21,02:00:01,0000000314279712,,0000000314279711
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",1,6626
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",2,6458
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",3,6262
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",4,6096
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",5,5978
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",6,5911
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",7,5881
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",8,5871
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",9,5936
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",10,6007
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",11,6095
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",12,6193
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",13,6309
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",14,6406
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",15,6499
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",16,6547
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",17,6497
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",18,6444
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",19,6322
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",20,6208
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",21,6109
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",22,5988
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",23,5923
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",24,5876
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",25,5830
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",26,5802
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",27,5825
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",28,5835
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",29,5933
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",30,6155
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",31,6353
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",32,6597
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",33,6833
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",34,7198
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",35,7425
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",36,7606
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",37,7733
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",38,7835
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",39,7761
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",40,7679
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",41,7488
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",42,7302
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",43,7186
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",44,7096
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",45,7055
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",46,6954
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",47,6877
D,DEMAND,HISTORIC,1,NSW1,"2019/10/20 00:00:00",48,6813
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",1,5561
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",2,5433
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",3,5291
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",4,5216
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",5,5164
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",6,5115
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",7,5093
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",8,5097
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",9,5097
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",10,5131
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",11,5114
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",12,5085
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",13,5064
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",14,5006
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",15,5003
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",16,4987
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",17,5006
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",18,4958
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",19,4908
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",20,4875
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",21,4821
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",22,4760
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",23,4773
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",24,4772
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",25,4862
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",26,4942
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",27,5031
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",28,5184
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",29,5248
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",30,5385
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",31,5599
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",32,5874
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",33,6122
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",34,6426
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",35,6614
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",36,6698
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",37,6820
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",38,6933
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",39,6798
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",40,6722
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",41,6598
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",42,6429
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",43,6255
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",44,6150
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",45,6069
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",46,5987
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",47,5798
D,DEMAND,HISTORIC,1,QLD1,"2019/10/20 00:00:00",48,5592
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",1,1330
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",2,1285
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",3,1209
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",4,1142
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",5,1107
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",6,1082
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",7,1078
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",8,1042
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",9,1040
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",10,1047
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",11,1068
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",12,1093
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",13,1105
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",14,1132
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",15,1124
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",16,1067
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",17,987
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",18,909
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",19,817
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",20,745
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",21,641
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",22,557
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",23,490
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",24,461
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",25,436
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",26,450
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",27,438
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",28,441
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",29,457
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",30,518
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",31,572
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",32,660
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",33,779
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",34,901
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",35,1052
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",36,1166
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",37,1266
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",38,1314
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",39,1352
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",40,1361
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",41,1351
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",42,1314
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",43,1257
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",44,1216
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",45,1184
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",46,1165
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",47,1158
D,DEMAND,HISTORIC,1,SA1,"2019/10/20 00:00:00",48,1306
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",1,892
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",2,887
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",3,885
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",4,885
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",5,877
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",6,874
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",7,869
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",8,873
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",9,879
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",10,889
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",11,901
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",12,918
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",13,948
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",14,983
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",15,1013
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",16,1035
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",17,1052
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",18,1045
D,DEMAND,HISTORIC,1,TAS1,"2019/10/20 00:00:00",19,1033
